YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-04,WEEKDAY,11,TRAIN,NS7,1313,1291
2020-04,WEEKENDS/HOLIDAY,11,TRAIN,NS7,677,585
2020-04,WEEKENDS/HOLIDAY,16,TRAIN,SW4,169,169
2020-04,WEEKDAY,16,TRAIN,SW4,373,471
2020-04,WEEKDAY,10,TRAIN,CC5,549,1196
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,CC5,263,435
2020-04,WEEKDAY,13,TRAIN,CC23,2647,2855
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,CC23,428,525
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,EW33,181,199
2020-04,WEEKDAY,22,TRAIN,EW33,525,404
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,CC21,901,982
2020-04,WEEKDAY,14,TRAIN,CC21,2318,2629
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,11082,11897
2020-04,WEEKDAY,18,TRAIN,EW24-NS1,74630,44701
2020-04,WEEKDAY,7,TRAIN,NE10,8357,11788
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,NE10,1432,1475
2020-04,WEEKDAY,8,TRAIN,EW22,2674,5503
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,EW22,437,513
2020-04,WEEKDAY,14,TRAIN,CC16,2822,1972
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,CC16,595,614
2020-04,WEEKDAY,10,TRAIN,EW11,6192,7170
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,EW11,2234,2074
2020-04,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,675,1297
2020-04,WEEKDAY,6,TRAIN,CC1-NE6-NS24,2713,5092
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,EW19,1,16
2020-04,WEEKDAY,0,TRAIN,EW19,8,40
2020-04,WEEKDAY,10,TRAIN,CC22,1842,2830
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,EW21,673,946
2020-04,WEEKDAY,10,TRAIN,EW21,1509,2610
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,CC22,500,736
2020-04,WEEKDAY,8,TRAIN,CC8,3569,2468
2020-04,WEEKENDS/HOLIDAY,8,TRAIN,CC8,657,566
2020-04,WEEKDAY,17,TRAIN,DT12,4476,1481
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,DT12,471,652
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,NE7,3104,3544
2020-04,WEEKDAY,17,TRAIN,NE7,11540,8191
2020-04,WEEKDAY,17,TRAIN,EW33,5058,705
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,EW33,711,324
2020-04,WEEKDAY,7,TRAIN,BP10,4780,1581
2020-04,WEEKENDS/HOLIDAY,7,TRAIN,BP10,653,413
2020-04,WEEKDAY,15,TRAIN,NE10,5435,4501
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,NE10,1476,1545
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,EW22,432,486
2020-04,WEEKDAY,18,TRAIN,EW22,3239,3871
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,CC25,890,424
2020-04,WEEKDAY,15,TRAIN,CC25,2451,1358
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,CE1,559,1117
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,DT16,32,150
2020-04,WEEKDAY,12,TRAIN,DT16,41,136
2020-04,WEEKDAY,12,TRAIN,CE1,1378,1954
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,SW6,530,301
2020-04,WEEKDAY,10,TRAIN,SW6,1235,755
2020-04,WEEKDAY,17,TRAIN,DT31,2441,5410
2020-04,WEEKENDS/HOLIDAY,17,TRAIN,DT31,748,1105
2020-04,WEEKENDS/HOLIDAY,15,TRAIN,CC14,451,545
2020-04,WEEKDAY,15,TRAIN,CC14,2002,1768
2020-04,WEEKDAY,22,TRAIN,NS28,316,147
2020-04,WEEKENDS/HOLIDAY,22,TRAIN,NS28,152,64
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,DT10,2,8
2020-04,WEEKDAY,0,TRAIN,DT10,1,5
2020-04,WEEKDAY,10,TRAIN,NE3,6374,8316
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,EW16,424,529
2020-04,WEEKDAY,10,TRAIN,EW16,1920,2881
2020-04,WEEKENDS/HOLIDAY,10,TRAIN,NE3,1315,1530
2020-04,WEEKENDS/HOLIDAY,9,TRAIN,CC14,629,340
2020-04,WEEKDAY,9,TRAIN,CC14,1843,1068
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,EW27,5774,6374
2020-04,WEEKDAY,14,TRAIN,EW27,13201,16528
2020-04,WEEKDAY,0,TRAIN,CE2,1,1
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NS27,3,5
2020-04,WEEKDAY,0,TRAIN,NS27,5,11
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,CE2,0,9
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,DT27,860,830
2020-04,WEEKDAY,18,TRAIN,DT27,7876,3942
2020-04,WEEKDAY,0,TRAIN,NS8,268,704
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NS8,120,292
2020-04,WEEKENDS/HOLIDAY,18,TRAIN,NS14,3270,4022
2020-04,WEEKDAY,18,TRAIN,NS14,14261,30551
2020-04,WEEKENDS/HOLIDAY,12,TRAIN,EW17,3585,3478
2020-04,WEEKDAY,12,TRAIN,EW17,8046,8560
2020-04,WEEKENDS/HOLIDAY,0,TRAIN,NE17-PTC,24,302
2020-04,WEEKDAY,0,TRAIN,NE17-PTC,82,578
2020-04,WEEKENDS/HOLIDAY,13,TRAIN,BP12,285,263
2020-04,WEEKDAY,13,TRAIN,BP12,1046,729
2020-04,WEEKDAY,14,TRAIN,CC15,9128,10369
2020-04,WEEKENDS/HOLIDAY,14,TRAIN,NS17,2072,898
